NAME,Section_No,Trail_ID,Length_KM,Difficulty,Region_En,Type_En,Trail_name_En,Shape_Length,Startpt_En,Finishpt_E
Hong Kong Trail,1,hk_1,7,2,Hong Kong Island,Long Distance Trail,Hong Kong Trail Section 1 (The Peak To Pok Fu Lam Reservoir Road),6333.61299326,The Peak,Pok Fu Lam Reservoir Road
Hong Kong Trail,2,hk_2,4.5,2,Hong Kong Island,Long Distance Trail,Hong Kong Trail Section 2 (Pok Fu Lam Reservoir Road To Peel Rise),4332.41256317,Pok Fu Lam Reservoir Road,Peel Rise
Hong Kong Trail,3,hk_3,6.5,2,Hong Kong Island,Long Distance Trail,Hong Kong Trail Section 3 (Peel Rise To Wan Chai Gap),5859.72288135,Peel Rise,Wan Chai Gap
Hong Kong Trail,4,hk_4,7.5,2,Hong Kong Island,Long Distance Trail,Hong Kong Trail Section 4 (Wan Chai Gap To Wong Nai Chung Gap),7234.92011609,Wan Chai Gap,Wong Nai Chung Gap
Hong Kong Trail,5,hk_5,4,3,Hong Kong Island,Long Distance Trail,Hong Kong Trail Section 5 (Wong Nai Chung Gap To Mount Parker Road),3500.28697209,Wong Nai Chung Gap,Mount Parker Road
Hong Kong Trail,6,hk_6,4.5,2,Hong Kong Island,Long Distance Trail,Hong Kong Trail Section 6 (Mount Parker Road To Tai Tam Road),4458.71646891,Mount Parker Road,Tai Tam Road
Hong Kong Trail,7,hk_7,7.5,2,Hong Kong Island,Long Distance Trail,Hong Kong Trail Section 7 (Tai Tam Road To To Tei Wan),7128.81337113,Tai Tam Road,To Tei Wan
Hong Kong Trail,8,hk_8,8.5,3,Hong Kong Island,Long Distance Trail,Hong Kong Trail Section 8 (To Tei Wan To Tai Long Wan),7806.89414534,To Tei Wan,Tai Long Wan
Lantau Trail,1,lt_1,2.5,1,Lantau Island,Long Distance Trail,Lantau Trail Section 1 (Mui Wo To Nam Shan),2210.65207717,Mui Wo,Nam Shan
Lantau Trail,2,lt_2,6.5,4,Lantau Island,Long Distance Trail,Lantau Trail Section 2 (Nam Shan To Pak Kung Au),6337.80606183,Nam Shan,Pak Kung Au
Lantau Trail,3,lt_3,4.5,4,Lantau Island,Long Distance Trail,Lantau Trail Section 3 (Pak Kung Au To Ngong Ping),4451.72789978,Pak Kung Au,Ngong Ping
Lantau Trail,4,lt_4,4,2,Lantau Island,Long Distance Trail,Lantau Trail Section 4 (Ngong Ping To Sham Wat Road),5197.92284429,Ngong Ping,Sham Wat Road
Lantau Trail,5,lt_5,7.5,3,Lantau Island,Long Distance Trail,Lantau Trail Section 5 (Sham Wat Road To Man Cheung Po),7770.69225067,Sham Wat Road,Man Cheung Po
Lantau Trail,6,lt_6,2.5,2,Lantau Island,Long Distance Trail,Lantau Trail Section 6 (Man Cheung Po To Tai O),1891.5091641,Man Cheung Po,Tai O
Lantau Trail,7,lt_7,10.5,3,Lantau Island,Long Distance Trail,Lantau Trail Section 7 (Tai O To Kau Ling Chung),9841.11723313,Tai O,Kau Ling Chung
Lantau Trail,8,lt_8,5.5,2,Lantau Island,Long Distance Trail,Lantau Trail Section 8 (Kau Ling Chung To Shek Pik),4735.25906793,Kau Ling Chung,Shek Pik
